Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 SA,10,Tuesday,31,0,4,4,39,low
12:15:00 SA,10,Tuesday,49,0,3,3,55,low
12:30:00 SA,10,Tuesday,46,0,3,6,55,low
12:45:00 SA,10,Tuesday,51,0,2,5,58,low
1:00:00 SA,10,Tuesday,57,6,15,16,94,normal
1:15:00 SA,10,Tuesday,44,0,5,4,53,low
1:30:00 SA,10,Tuesday,37,0,1,4,42,low
1:45:00 SA,10,Tuesday,42,4,4,5,55,low
2:00:00 SA,10,Tuesday,51,0,9,7,67,low
2:15:00 SA,10,Tuesday,34,0,4,7,45,low
2:30:00 SA,10,Tuesday,45,0,1,1,47,low
2:45:00 SA,10,Tuesday,45,0,1,3,49,low
3:00:00 SA,10,Tuesday,50,0,3,0,53,low
3:15:00 SA,10,Tuesday,34,0,4,4,42,low
3:30:00 SA,10,Tuesday,129,22,42,1,194,heavy
3:45:00 SA,10,Tuesday,144,16,49,0,209,heavy
4:00:00 SA,10,Tuesday,111,28,20,3,162,normal
4:15:00 SA,10,Tuesday,67,11,10,16,104,normal
4:30:00 SA,10,Tuesday,65,24,7,16,112,normal
4:45:00 SA,10,Tuesday,94,27,7,16,144,normal
5:00:00 SA,10,Tuesday,94,20,8,7,129,normal
5:15:00 SA,10,Tuesday,67,29,5,10,111,low
5:30:00 SA,10,Tuesday,56,12,2,14,84,normal
5:45:00 SA,10,Tuesday,57,13,3,11,84,low
6:00:00 SA,10,Tuesday,129,22,42,1,194,heavy
6:15:00 SA,10,Tuesday,144,16,49,0,209,heavy
6:30:00 SA,10,Tuesday,111,28,20,3,162,normal
6:45:00 SA,10,Tuesday,120,27,46,3,196,heavy
7:00:00 SA,10,Tuesday,102,39,47,1,189,heavy
7:15:00 SA,10,Tuesday,145,23,27,0,195,heavy
7:30:00 SA,10,Tuesday,114,37,21,5,177,heavy
7:45:00 SA,10,Tuesday,108,18,22,1,149,normal
8:00:00 SA,10,Tuesday,122,28,33,1,184,heavy
8:15:00 SA,10,Tuesday,114,39,30,3,186,heavy
8:30:00 SA,10,Tuesday,150,36,25,1,212,heavy
8:45:00 SA,10,Tuesday,107,10,49,2,168,heavy
9:00:00 SA,10,Tuesday,124,24,22,0,170,heavy
9:15:00 SA,10,Tuesday,77,16,39,29,161,high
9:30:00 SA,10,Tuesday,15,23,30,21,89,normal
9:45:00 SA,10,Tuesday,32,22,38,21,113,high
10:00:00 SA,10,Tuesday,68,13,29,24,134,high
10:15:00 SA,10,Tuesday,27,16,36,30,109,normal
10:30:00 SA,10,Tuesday,76,7,11,15,109,normal
10:45:00 SA,10,Tuesday,41,23,20,17,101,normal
11:00:00 SA,10,Tuesday,33,10,3,29,75,normal
11:15:00 SA,10,Tuesday,58,8,14,29,109,normal
11:30:00 SA,10,Tuesday,65,7,11,26,109,normal
11:45:00 SA,10,Tuesday,47,9,6,29,91,normal
12:00:00 CH,10,Tuesday,38,10,5,25,78,normal
12:15:00 CH,10,Tuesday,57,8,12,29,106,normal
12:30:00 CH,10,Tuesday,20,6,4,20,50,normal
12:45:00 CH,10,Tuesday,24,9,14,23,70,normal
1:00:00 CH,10,Tuesday,52,10,13,21,96,normal
1:15:00 CH,10,Tuesday,79,15,36,18,148,high
1:30:00 CH,10,Tuesday,84,24,22,18,148,normal
1:45:00 CH,10,Tuesday,59,19,35,16,129,high
2:00:00 CH,10,Tuesday,88,26,31,19,164,high
2:15:00 CH,10,Tuesday,24,11,32,13,80,normal
2:30:00 CH,10,Tuesday,110,17,23,20,170,heavy
2:45:00 CH,10,Tuesday,29,26,5,6,66,low
3:00:00 CH,10,Tuesday,43,26,11,20,100,normal
3:15:00 CH,10,Tuesday,68,28,9,15,120,normal
3:30:00 CH,10,Tuesday,108,16,8,18,150,normal
3:45:00 CH,10,Tuesday,101,26,8,14,149,normal
4:00:00 CH,10,Tuesday,141,31,36,6,214,heavy
4:15:00 CH,10,Tuesday,120,25,28,5,178,heavy
4:30:00 CH,10,Tuesday,137,23,44,5,209,heavy
4:45:00 CH,10,Tuesday,124,11,30,7,172,heavy
5:00:00 CH,10,Tuesday,145,25,49,7,226,heavy
5:15:00 CH,10,Tuesday,122,37,23,8,190,heavy
5:30:00 CH,10,Tuesday,136,30,20,9,195,heavy
5:45:00 CH,10,Tuesday,145,18,40,9,212,heavy
6:00:00 CH,10,Tuesday,138,34,28,5,205,heavy
6:15:00 CH,10,Tuesday,123,10,29,8,170,heavy
6:30:00 CH,10,Tuesday,105,15,21,9,150,normal
